Касба;<img src="lake_127.png">;Канада;1317;?;16;336;пресное;Казан;Северная Америка
Бьенвиль;<img src="lake_118.png">;Канада;1249;?;13;391;пресное;Гранд-Бален;Северная Америка
Севан;<img src="lake_104.png">;Армения;1243;80;27;1896;пресное;Раздан;Азия
Бочарова;<img src="lake_112.png">;США;1170;92;56;4;пресное;нет;Северная Америка
Малое Невольничье;<img src="lake_117.png">;Канада;1170;21;12;577;пресное;Малая Невольничья;Северная Америка
Абая;<img src="lake_64.png">;Эфиопия;1162;13;7;1285;пресное;нет;Африка
Ред-Лейк;<img src="lake_114.png">;США;1148;26;4;358;пресное;нет;Северная Америка
Шамплейн;<img src="lake_111.png">;США, Канада;1130;122;19;29;пресное;Ришельё;Северная Америка
Белое (Белоозеро);<img src="lake_60.png">;Россия;1125;33;6;113;пресное;Шексна;Европа
Меларен;<img src="lake_100.png">;Швеция;1120;63;13;1;пресное;нет;Европа
Сент-Клэр;<img src="lake_113.png">;США, Канада;1114;8;3;175;пресное;Детройт;Северная Америка
Тоба;<img src="lake_46.png">;Индонезия;1103;505;213;905;пресное;Асахан;Азия
Чапала;<img src="lake_22.png">;Мексика;1100;11;5;1524;пресное;Рио-Гранде-де-Сантьяго;Северная Америка
Бра-д'Ор;<img src="lake_81.png">;Канада;1099;287;30;0;соленое;нет;Северная Америка
Абердин;<img src="lake_66.png">;Канада;1095;?;32;80;пресное;Телон;Северная Америка
Вьедма;<img src="lake_135.png">;Аргентина, Чили;1094;304;100;252;пресное;Рио-Санта-Крус;Южная Америка
Пяйянне;<img src="lake_102.png">;Финляндия;1080;95;16;78;пресное;Кюмийоки;Европа
Такиюак;<img src="lake_134.png">;Канада;1080;?;21;381;пресное;нет;Северная Америка
Годс;<img src="lake_122.png">;Канада;1061;75;13;178;пресное;Годс;Северная Америка
Маккей;<img src="lake_133.png">;Канада;1061;?;21;431;пресное;нет;Северная Америка
Ков-Ата;<img src="lake_62.png">;Туркмения;1050;14;8;-16;пресное;нет;Азия
Селавик;<img src="lake_115.png">;США;1050;7;4;1;пресное;нет;Северная Америка
Айленд;<img src="lake_121.png">;Канада;1043;59;20;227;пресное;Айленд-Лейк;Северная Америка
Инариярви;<img src="lake_31.png">;Финляндия;1040;92;15;119;пресное;Паз;Европа
Манагуа;<img src="lake_57.png">;Никарагуа;1035;20;10;37;пресное;Типитапа;Северная Америка
Сан-Мартин (О'Хиггинс);<img src="lake_54.png">;Аргентина, Чили;1010;836;68;250;пресное;Паскуа;Южная Америка
Сен-Жан;<img src="lake_120.png">;Канада;1002;63;11;100;пресное;Сагеней;Северная Америка
Ильмень;<img src="lake_70.png">;Россия;982;10;4;18;пресное;Волхов;Европа
Койпаса;<img src="lake_27.png">;Боливия, Чили;850;4;1;3657;соленое;нет;Южная Америка
Мертвое море;<img src="lake_138.png">;Израиль, Иордания, Государство Палестина;810;306;178;-427;соленое;нет;Азия
Балатон;<img src="lake_37.png">;Венгрия;594;13;4;104;пресное;Шио;Европа
Женевское;<img src="lake_59.png">;Швейцария, Франция;572;310;156;372;пресное;Рона;Европа
Боденское;<img src="lake_33.png">;Швейцария, Германия, Австрия;536;254;90;395;пресное;Рейн;Европа
Гарда;<img src="lake_39.png">;Италия;370;346;136;65;пресное;Минчо;Европа
Селигер (Осташковское);<img src="lake_139.png">;Россия;260;24;6;205;пресное;Селижаровка;Европа
Лаго-Маджоре;<img src="lake_105.png">;Швейцария, Италия;213;372;177;193;пресное;Тичино;Европа
